"id","question","right-answer","wrong-answer-1","wrong-answer-2","wrong-answer-3","kategorie","proposer","gemolden","reason","propose_date","proposer_time"
"35","Welches ist das grösste Volksfest?","Oktober Fest","November Fest","Karneval","Pabloval","sonstige","0","0","none","2021-11-21","20:14:22"
"36","Wo ist das grösste Kürbis fest der Schweiz?","Richterswil","Pablowil","Schleitheim","Rudolfingen","sonstige","0","0","none","2021-11-21","20:14:22"
"37","Welcher ist der leichteste Vogel?","Kolibri","Taube","Kanarien Vogel","Wellensittich","sonstige","0","0","none","2021-11-21","20:14:22"
"38","Welcher ist der grösste See, welcher ganz in der Schweiz liegt.","Neuenburger See","Vierwald Städter See","Bodensee","Sempacher See","sonstige","0","0","none","2021-11-21","20:14:22"
"39","Welche ist die Steak Hauptstadt?","Amarillo","Tulsa","Tampa","Amerika","geographie","0","0","none","2021-11-21","20:14:22"
"40","Welche ist die Country Hauptstadt der USA?","Nashville","Buffalo","Cheffield","Pabloville","sonstige","0","0","none","2021-11-21","20:14:22"
"41","Welches ist der Kartoffel Staat?","Idaho","Kansas","Florida","New Haverbrook","sonstige","0","0","none","2021-11-21","20:14:22"
"42","Wo ist der Hauptsitz der NASA?","Houston","Rillo","Florida","Pablido","sonstige","0","0","none","2021-11-21","20:14:22"
"43","Was ist die einwohner stärkste Stadt von den USA?","New York","Los Angeles","Atlanta","MIno Coco","sonstige","0","0","none","2021-11-21","20:14:22"
"69","was ist die hauptstadt von nicaragua?","Managua","Trinidad","marshville","landtown","sonstige","0","0","none","2021-11-21","20:14:22"
"70","Wie viele knochen hat der Menschliche Körper?","206","300","187","240","sonstige","0","0","none","2021-11-21","20:14:22"
"71","Wie lauten die vier P's des Marketings?","Product, Price, Place, Promotion","Product, Palace, Place, Promotion","Product, Price, Place, Prototype","Party, Price, Place, Promotion","sonstige","0","0","none","2021-11-21","20:14:22"
"72","Wenn ein Unternehmen bei der Preisbestimmung auf seine Konkurrenz achtet wie nennt man das?","Wettbewerbsorientiert","Kostenorientiert","Landorientiert","Kongruenzorientiert","sonstige","0","0","none","2021-11-21","20:14:22"
"73","Welche drei Komponenten gehören zum Kongruenzprinzip?","Kompetenz, Verantwortung und Aufgaben","Kompetenz, Verantwortung und Artischoken","Kompetenz, Vertrieb und Aufgaben","Kontrolle, Verantwortung und Aufgaben","sonstige","0","0","none","2021-11-21","20:14:22"
"74","Was ist ein Organigramm?","Eine graphische Darstellung vom Aufbau einer Firma","Ein Werkezeug um den Teufel herauf zu beschwören.","Eine Graphik die Lineare Entwicklungen vergleicht.","Eine Coole Quiz Platform.","sonstige","0","0","none","2021-11-21","20:14:22"
"75","Was ist die Inflation?","Wertverlust der Währung","Gewinn","Umsatz","Ornitologische Prinzipien","sonstige","0","0","none","2021-11-21","20:14:22"
"76","Wie heisst das Südlichste Land Afrikas?","Süd Afrika","Sudan","Kongo","Israel","sonstige","0","0","none","2021-11-21","20:14:22"
"77","Wie heisst der Fluss der durch Egypten fliesst?","Nil","Po","Mao Ze dong","Mara","sonstige","0","0","none","2021-11-21","20:14:22"
"78","Wie cool ist quuli.ch?","99999999999%","100%","10%","75.387237%","sonstige","0","0","none","2021-11-21","20:14:22"
"79","Welches dieser Länder liegt auf dem Äquator?","Kenia","Marokko","Algerien","Kanada","sonstige","0","0","none","2021-11-21","20:14:22"
"80","Wie heisst der Australische Wildhund?","Dingo","Gringo","Mandingo","Pablingo","sonstige","0","0","none","2021-11-21","20:14:22"
"81","Welches Land liegt in Ozeanien ?","Tonga","St.kitts","Seychellen","Malediven","sonstige","0","0","none","2021-11-21","20:14:22"
"82","Welches dieser Antworten ist ein Eigenständiges Land?","Kap verde","Bali","Grönland","Nieu","sonstige","0","0","none","2021-11-21","20:14:22"
"83","wo ist juan?","auf dem Balkon","Auf der weide","Im Pferde Stall","Vor deiner Haustür","sonstige","0","0","none","2021-11-21","20:14:22"
"84","Welches dieser Antworten ist ein Eigenständiges Land?","Marshallinseln","Mayotte","Guam","Kaimaninseln","sonstige","0","0","none","2021-11-21","20:14:22"
"85","Welche Antwort ist ein Eigenständiges Land?","Kiribati","Turks - Caicosinseln","Bermuda","Nördlicher Marianen","sonstige","0","0","none","2021-11-21","20:14:22"
"86","Was ist eine Stelle?","Kleinste Organisatorische Einheit","Eine Maus","CL Server Persisteten Dateien","Abteilung Innendienst im Fachbereich Microsoft Edge","sonstige","0","0","none","2021-11-21","20:14:22"
"87","Was ist Microsoft Edge?","Eine Betriebssystem","Ein Browser","Eine Maus","Ein Mädchen welches keine Ahnung hat","sonstige","0","0","none","2021-11-21","20:14:22"
"88","Was ist die Hauptstadt Deutschlands?","Berlin","Bern","Stuttgart","Strasbourg","sonstige","0","0","none","2021-11-21","20:14:22"
"89","Wann wurde die Schweiz gegründet?","1848","1737","1291","1920","sonstige","0","0","none","2021-11-21","20:14:22"
"90","Welche Antwort ist keine vollständige eigene Insel?","Brunei","Aruba","Bahrain","Bonaire","sonstige","0","0","none","2021-11-21","20:14:22"
"91","Welche der Antworten ist kein Autonomes Land im Königreich Niederlande?","Bonaire","Aruba","Niederlande","SintMaarten","sonstige","0","0","none","2021-11-21","20:14:22"
"92","Welche der Antworten ist keine Provinz in Niederlande?","Aruba","Saba","Bonaire","Sint Eustatius","sonstige","0","0","none","2021-11-21","20:14:22"
"93","Welche Provinz in Niederlande ist in Europa?","Zeeland","Bonaire","Saba","Sint  Maarten","sonstige","0","0","none","2021-11-21","20:14:22"
"94","Spitzbergen gehört zu?","Norwegen","Grönland","Schweden","Dänemark","sonstige","0","0","none","2021-11-21","20:14:22"
"95","Färöer gehört zu?","Dänemark","Königreich Grossbritanien","Vereinigtes Königreich Großbritannien und Irland","Vereinigtes Königreich","sonstige","0","0","none","2021-11-21","20:14:22"
"96","Welches Königreich Existiert heute?","Vereinigtes Königreich","Vereinigtes Königreich Großbritannien und Irland","Königreich Großbritannien","Königreich England","sonstige","0","0","none","2021-11-21","20:14:22"
"97","Lesotho ist von welchem Land vollumfänglich eingeschlossen?","Südafrika","Sambia","Mosambik","Namibia","sonstige","0","0","none","2021-11-21","20:14:22"
"98","Ist Cockburn Town eine Reale Haupstadt?","ja, von Turk - Caicosinseln","ja, von Britische Jungferninseln","nein, ist frei erfunden","ja, ist aber keine Haupstadt","sonstige","0","0","none","2021-11-21","20:14:22"
"99","Papeete ist?","die Haupstadt Polynesien","da um wände zu verschönern (Indien)","ein Musik Instrument","ein Nationalgerichts Samoa`s","sonstige","0","0","none","2021-11-21","20:14:22"
"100","who the fuck is Rolf?","heisser stepdad","ein renntier","eine Bushaltestelle","eine Fishermans Friend Sorte","cool","0","0","none","2021-11-21","20:14:22"
"101","who the fuck is Rolf?","heisser stepdad","ein renntier","eine Bushaltestelle","eine Fishermans Friend Sorte","cool","0","0","none","2021-11-21","20:14:22"
"102","Wer ist der grösste Spast in der Klasse?","Natalie","Nat","Nat","Nat","cool","0","0","none","2021-11-21","20:14:22"
"103","Wo ist der Ärmelkanal?","zwischen England und Frankreich","Zwischen Handballen und Ellbogen (unter der Haut)","Ein Abschnitt im alten Londoner Untergrund","Eine Passage im Corinth Kanal","sonstige","0","0","none","2021-11-21","20:14:22"
"104","Welches Land liegt nicht in Zentral Amerika?","Ecuador","Nicaragua","Costa Rica ","Panama","sonstige","0","0","none","2021-11-21","20:14:22"
"105","Pago Pago ist ?","eine Hauptstadt","Stadtteil Bogotas","Gericht in Bolivien","Clanname Brasiliens","sonstige","0","0","none","2021-11-21","20:14:22"
"106","Welche der Antworten ist ein Land?","Kap Verde","Kap Horn","Kap Grenada","Kap Gibralta","sonstige","0","0","none","2021-11-21","20:14:22"
"108","Welches der Länder gehört zu Afrika?","Eswatini","Brunei","Kiribati","Dominica","sonstige","0","0","none","2021-11-21","20:14:22"
"109","Sao Tome liegt in?","Afrika","Asien","Zentral Amerika","Ozeanien","sonstige","0","0","none","2021-11-21","20:14:22"
"110","Welche Farbe hat der Himmel?","Blau","Grün","Rot","Gelb","sonstige","0","0","none","2021-11-21","20:14:22"
"111","Welches Land liegt nicht in Afrika?","Belize","Benin","Gambia","Togo","sonstige","0","0","none","2021-11-21","20:14:22"
"112","Mali liegt in welchem Kontinent?","Afrika","Asien ","Ozeanien","Karibik","geographie","0","0","none","2021-11-21","20:14:22"
"113","In welchem Abstand findet die WM statt?","4 Jahre","6 Monate","2 Jahre","5 Jahre","sonstige","0","0","none","2021-11-21","20:14:22"
"114","Welche passé composé Form ist richtig?","Je suis mort","Tu as mange","Nous nous lavé","Ils ont deshabillié","sonstige","0","0","none","2021-11-21","20:14:22"
"115","Wann war der 2. Weltkrieg zu Ende?","1945","1899","1845","1942","sonstige","0","0","none","2021-11-21","20:14:22"
"116","Was ist das grösste Tier der Welt?","Blauwal","Triceratops","Kanadische Giraffe","Indischer Riesenflughund","sonstige","0","0","none","2021-11-21","20:14:22"
"117","Wer sind Harry Potters beste Freunde?","Hermine, Ron","Malfoy, Myrte","Hagrid, Dumbledore","Snape, McGonagall","sonstige","0","0","none","2021-11-21","20:14:22"
"118","Welches Organ kann man ohne Sorgen entnehmen?","Blinddarm","Zwölffingerdarm","Herz","Darm","sonstige","0","1","none","2021-11-21","20:14:22"
"119","Wer in der Harry Potter Welt hat keine Nase?","Lord Voldemort","Severus Snape","Minerva McGonagall","Albus Dumbledore","sonstige","0","0","none","2021-11-21","20:14:22"
"120","Welche Beere juckt, wenn man sie anfässt?","Hagebutte","Stachelbeere","Drachenfrucht","Heidelbeere","sonstige","0","0","none","2021-11-21","20:14:22"
"121","Wie schreibt man Quuli?","Quuli","Schwuuli","Quoli","iluuQ","cool","0","0","none","2021-11-21","20:14:22"
"122","Wer ist die intelligenteste Person in MED21/25?","Bianca","sismax","Emil","Nuttalie","cool","0","0","none","2021-11-21","20:14:22"
"123","Was ist Malware?","ein Schadprogramm","Eine Ware um Dinge zu mahlen","Ein PDF Programm","Ein Betriebssystem","sonstige","0","0","none","2021-11-21","20:14:22"
"124","Aus wie viel Prozent PET besteht PET?","100%","99.23%","67.9%","11.6%","sonstige","0","0","none","2021-11-21","20:14:22"
"125","Wie nennt man den Arbeitsspeicher in einem Computer?","RAM","CPU","GPU","Festplatte","sonstige","0","0","none","2021-11-21","20:14:22"
"126","Wer hat ein Glas voll mit Dreck?","Captain Jack Sparrow","Harry Potter","James Bond","Garfield","sonstige","0","0","none","2021-11-21","20:14:22"
"127","Was kann man nicht benutzen um eine Website zu erstellen?","PDF","HTML","CSS","Flexbox","sonstige","0","0","none","2021-11-21","20:14:22"
"128","Wie sieht der Befehl für einen Textabschnitt in HTML aus?","<p> </p>","<t> </t>","<a> </a>","<pg> </pg>","cool","0","0","none","2021-11-21","20:14:22"
"129","Horton hört ein ...?","Hu!","Bu!","Juhu!","Buhu!","sonstige","0","0","none","2021-11-21","20:14:22"
"130","Frag doch mal die ...?","Maus","Kuh","Ziege","Ratte","sonstige","0","0","none","2021-11-21","20:14:22"
"131","Mit welcher Farbe darf man in der Schule nicht schreiben?","Rot","Schwarz","Blau","Silbern","sonstige","0","0","none","2021-11-21","20:14:22"
"132","Wasbedeutet TW?","Trigger Warnung","Teure Währung","Tinten Weide","Tauben Weite","cool","0","0","none","2021-11-21","20:14:22"
"133","Aus was besteht Papier?","Baum","Schleifpapier","Baumwollfasern","Sandstein","sonstige","0","0","none","2021-11-21","20:14:22"
"134","Wer ist cooler wie quuli.ch?","Biancas Freunde","Alle ausser Maxim","Bianca","Rolf","cool","0","0","none","2021-11-21","20:14:22"
"136","Frage?","Richtige Antwort","Erste falsche Antwort","Zweite Falsche Antwort","Dritte falsche Antwort","cool","0","1","none","2021-11-21","20:14:22"
"137","Wie cool ist Maxim?","alle antworten sind gleich","zu 0%","etwa so sehr wie quuli.ch","gar nicht","cool","0","0","none","2021-11-21","20:14:22"
"138","Auf welcher Flagge Kann man kein Tier sehen?","Kenia","Albanien","Sri lanka","Bhutan","sonstige","0","0","none","2021-11-21","20:14:22"
"139","Was ist besser Flexbox oder css?","html","1","Fleckbock","css","cool","0","0","none","2021-11-21","20:14:22"
"140","Ist natalie cool?","nein sie ist abschaum","nee","nicht wirklich","nein ","cool","0","0","none","2021-11-21","20:14:22"
"141","Wie heisst Biancas Kind?","trick question sie kriegt zwillinge","susej","Rolf","juan","cool","0","1","none","2021-11-21","20:14:22"
"142","Welches Lebensmittel besteht prozentmässig am meisten aus Wasser?","Gurke","Tomate","Vollkornbrot","Karotte","sonstige","0","0","none","2021-11-21","20:14:22"
"143","Wie nennt man Dwayne Johnson auch?","The Rock","The Hill","The Mountain","The Stein","sonstige","0","0","none","2021-11-21","20:14:22"
"144","Webseite =?","Webpage","Website","Webdesign","Webidentity","sonstige","0","1","none","2021-11-21","20:14:22"
"145","Welche Farbe erkennt der homo sapiens am schnellsten?","Rot","Blau","Grün","Gelb","sonstige","0","0","none","2021-11-21","20:14:22"
"146","Welche Eigenschaft hat eine Banane?","Sie enthält viel Kalium","Sie ist nicht krumm","Sie ist rot","Sie enthält viel Vitamin AB3","sonstige","0","0","none","2021-11-21","20:14:22"
"147","Was bedeutet das Logo des Autos: VW ?","Volkswagen","Vollwertige Wartung","Versuch wegzurennen","Viel Wert","sonstige","0","0","none","2021-11-21","20:14:22"
"148","Hauptstadt von Grönland?","Nuuk","Narsaq","Illuniut","Paarmiut","sonstige","0","0","none","2021-11-21","20:14:22"
"149","Welche Redewendung stimmt nicht?","Ich habe das Haar verloren","Es ist noch nie ein Meister vom Himmel gefallen.","Den Nagel auf den Kopf treffen.","Wie die Faust auf's Auge.","sonstige","0","0","none","2021-11-21","20:14:22"
"150","Was gibt 9 * 9?","81","76","51","101","sonstige","0","1","none","2021-11-21","20:14:22"
"151","Was ergibt 5 + 2 * 10?","25","100","70","52","sonstige","0","0","none","2021-11-21","20:14:22"
"152","Haupstadt von Brasilien?","Brasilia","Rio de janeiro","sao paulo","salvador","sonstige","0","0","none","2021-11-21","20:14:22"
"153","Welches Wort ist falsch geschrieben?","triumpfierend","projizieren","Emanzipation","Symmetrie","sonstige","0","0","none","2021-11-21","20:14:22"
"154","Was ist Darth Vader?","Lukes Vater","Ein Goblin","Der Zweite Auserwählte","Anakin Floorwalker","sonstige","0","0","none","2021-11-21","20:14:22"
"155","Wie macht der Fuchs?","Ringdingdingding","Tututut","Haphaphap","Rowrowrow","sonstige","0","0","none","2021-11-21","20:14:22"
"156","Welche Antwort ist ein Eigeständiges Land?","Salomonen","Polynesein","Cookinseln","Mikronesien","sonstige","0","0","none","2021-11-21","20:14:22"
"157","Ein Land liegt nicht in der Karibik?","tuvalu","st.kitts","grenada","antigua","sonstige","0","0","none","2021-11-21","20:14:22"
"158","wa-pa-pa-pa-pa-pa-pow?","Fuchs","SG510","Gawk","Bauch Trommler","sonstige","0","0","none","2021-11-21","20:14:22"
"159","Wann starb JF Kennedy?","1963","1968","1956","1972","sonstige","0","0","none","2021-11-21","20:14:22"
"160","Wann machte man sich Sorgen das alle Computer explodieren würden?","1999","1899","2007","2001","sonstige","0","0","none","2021-11-21","20:14:22"
"161","Wann machte man sich Sorgen das alle Computer explodieren würden?","1999","1899","2007","2001","sonstige","0","0","none","2021-11-21","20:14:22"
"307","Was bedeutet LCD?","Liquid Crystal Display","Lies cause Dead","Last Call Done","Liquid Cinnamon Display","technik","0","0","none","2021-11-21","20:14:22"
"308","Für was steht das chemische Symbol AG?","Silber","Eisen","Gold","Helium","wissenschaft","0","0","none","2021-11-21","20:14:22"
"309","Für was steht das chemische Symbol He?","Helium","Wasserstoff","Eisen","Neon","wissenschaft","0","0","none","2021-11-21","20:14:22"
"310","Für was steht das chemische Symbol H?","Wasserstoff","Helium","Rodium","Xenon","wissenschaft","0","0","none","2021-11-21","20:14:22"
"312","Aus welcher Stadt kommt das Corona Virus?","Wuhan","Tokio","New York","Shanghai","geographie","26","0","none","2021-11-21","20:14:22"
"313","Welches der folgenden Lebensmitteln ist kein Gemüse?","Tomate","Karotte","Peperoni","Brokkoli","sonstige","26","0","none","2021-11-21","20:14:22"
"314","Welches Tier repräsentiert den Kanton Schaffhausen?","Steinbock","Stier","Ziege","Schaf","kultut","26","0","none","2021-11-21","20:14:22"
"315","Welche Farbe entsteht, wenn man Gelb und Violett mischt?","Braun","Rot","Orange","Blau","kunst","26","0","none","2021-11-21","20:14:22"
"316","Wer hat die Mona Lisa gemalt?","Leonardo da Vinci","Pablo Picasso","Leonardo di Caprio","Vincent van Gogh","kunst","26","0","none","2021-11-21","20:14:22"
"317","Wie viele Tage hat der September?","30","31","29","28","sonstige","26","0","none","2021-11-21","20:14:22"
"318","welches ist der kälteste See?","Baikalsee","Eriesee","Lake Thaoe","Murtensee","geographie","28","0","none","2021-11-21","20:14:22"
"319","Wie viel liter ist eine Gallone?","3.86","5","3.14","1.2","sonstige","28","0","none","2021-11-21","20:14:22"
"320","Wie viele meter stecken in einer Meile?","1600","1500","1680","1392","sonstige","28","0","none","2021-11-21","20:14:22"
"321","Aus welcher Serie ist Sheldon Cooper bekannt?","The Big Bang Theory","Better Call Saul","Alle unter einem Dach","The Office","filme","19","0","none","2021-11-21","20:14:22"
"322","Aus welcher Serie kommt der Spruch ""I am the one who knocks""?","Breaking Bad","Better Call Saul","Urkel und Greed","Legende des Westens","filme","19","0","none","2021-11-21","20:14:22"
"323","Was bedeutet der Begriff KI?","Künstliche Intelligenz","Kanne Internet","Karotten Intermezzo","Kool Ivory","technik","19","1","none","2021-11-21","20:14:22"
"324","Von welchem Unternehmen stammt die Xbox?","Microsoft","Sony","Samsung","Dell","sonstige","19","0","none","2021-11-21","20:14:22"
"325","Wie viele Länder grenzen an die Schweiz?","5","6","4","7","geographie","19","0","none","2021-11-21","20:14:22"
"326","Wie hiess der General der Schweizer Armee währenddem 2ten Weltkrieg?","Henry Guisan","Pablo Mann","Fridolin Merten","Hans Redinger","geschichte","19","0","none","2021-11-21","20:14:22"
"327","Welche von diesen Personen war ein internationaler Drogenbaron während den 80ern und 90ern?","Pablo Escobar","Angelo Merte","Coronel Brahim","Hola Perseiver","geschichte","19","0","none","2021-11-21","20:14:22"
"328","Aus welcher Serie kennt man Walter White?","Breaking Bad","Better Call Saul","Legende des Westens","Haus des Geldes","filme","19","0","none","2021-11-21","20:14:22"
"329","Von welcher Filmreihe stammt der Charakter Katniss Everdeen?","Tribute von Panem","Maze Runner","Die Bestimmung","Fluch der Karibik","filme","0","0","none","2021-11-21","20:14:22"
"330","Von welcher Serie stammt der Charakter Rick Grimes?","The Walking Dead","Game of Thrones","Sherlock","Breaking Bad","filme","0","0","none","2021-11-21","20:14:22"
"331","Welches Schmuckstück musste Frodo Beutlin in das Feuer von Mordor werfen?","Ring","Halskette","Armreif","Ohrring","filme","26","0","none","2021-11-21","20:14:22"
"332","Welche Mischung erzeugt ein unaufhaltsames Schäumen?","Cola & Mentos","Orangensaft & Milch","Zitronensaft & Rahm","Brennsprit & Sprite","wissenschaft","26","0","none","2021-11-21","20:14:22"
"333","Was ist x? 4x + 8 = 28x?","x = 1/3","x = 4/5","x = 2","x = 6","sonstige","26","1","none","2021-11-21","20:14:22"
"334","\?","Backslash","Bäcksläsh","slash","forwardslash","cool","26","1","none","2021-11-21","20:14:22"
"335","Wie nennt man das @ auf französisch?","arobase","acrobase","ät","arobastart","sonstige","31","0","none","2021-11-21","20:14:22"
"336","Wann fuhr Christof Kolumbus nach Amerika?","1492","1390","1522","1780","geschichte","0","1","none","2021-11-21","20:14:22"
"337","Welche Farbe hat Maxims Uhr?","Blau","Schwarz","Grau","Rot","cool","26","0","none","2021-11-21","20:14:22"
"338","Wer ist der beste Lehrer?","Garigliano","Keller","Gibeaux","Liechti","sonstige","39","0","none","2021-11-21","20:14:22"
"339","Welcher Ball ist der grösse?","Medizinball","Fussball","Tennisball","Pingpongball","sonstige","26","0","none","2021-11-21","20:14:22"
"340","Was ist Maxims Lieblingshemd?","Blau","Braun","Geblumt","Pink","cool","39","0","none","2021-11-21","20:14:22"
"341","Welcher Lebensmittel gibt es auch als Filmtitel?","Kartoffelsalat","Karottensalat","Nüsschensalat","Wurstsalat","sonstige","26","0","none","2021-11-21","20:14:22"
"342","Was ist Juans Beruf?","Balkonsteher","Türsteher","Fenstersteher","Hintergeher","cool","30","0","none","2021-11-21","20:14:22"
"343","Was bedeutet Anglizismus ?","Eingedeutschtes Wort aus dem Englischen","Ein anderer Begriff für die Sprache Englisch","das Geräusch das Schlangen ausstossen","Eine Schlangenart","sonstige","0","0","none","2021-11-21","20:14:22"
"344","Welcher ist der beste Tag in der Woche?","Samstag","Montag","Mittwoch","Freitag","sonstige","39","0","none","2021-11-21","20:14:22"
"345","Was ist cringe?","Afrika","Afroafrika","Afrafika","Affen","geographie","30","1","none","2021-11-21","20:14:22"
"346","Wo und wie starb Adolf Hitler?","In seinem Bunker per Headshot","Auf dem Schlachtfeld wegen einer Granate","In einem Konferenzraum mit einer Attentatbombe","In einem Panzer auf der Flucht vor den Aliierten","geschichte","26","0","none","2021-11-21","20:14:22"
"347","Wie cool ist beethoven?","Beethoven","10/10","8/10","0/10","cool","30","1","none","2021-11-21","20:14:22"
"348","Meldung zu wem die Afrikafragen macht:?","HÖR UF MAN!!","toll","kuhhhhl","nice","cool","39","1","none","2021-11-21","20:14:22"
"349","Auf welchem Kontinent liegt Brasilien?","Südamerika","Nordamerika","Afrika","Europa","geographie","26","0","none","2021-11-21","20:14:22"
"350","Welches Lebensmittel ist auch ein Liedtitel?","Kartoffelsalat","Wurstsalat","Hörnlisalat","Wassersalat","sonstige","39","0","none","2021-11-21","20:14:22"
"351","Welche Waffe beherrscht Katniss Everdeen am besten?","Pfeilbogen","Doppelschwert","Lanze","Armbrust","filme","26","0","none","2021-11-21","20:14:22"
"353","Was ist endoplasmatisches Retikulum?","Ein Kanalsystem in Zellen.","En Medikament, um Furunkel zu heilen.","""Unglaubliche Handlung"" auf Latein","Ein Schlachtruf, der alten Römer","wissenschaft","26","0","none","2021-11-21","20:14:22"
"354","Was ist ein Argentavis?","Ein grosser Adler aus der Dinosaurier Zeit.","ein Reptil","der Fachbegriff für ein Krokodil","Der Bruder von Rolf welcher Juan geheiratet hat.","geschichte","30","1","none","2021-11-21","20:14:22"
"355","Wie lange braucht das Licht der Sonne bis zur Erde?","ca. 8 Minuten","ca. 10 Sekunden","ca. 3 Stunden","ca. 4 Milisekunden","wissenschaft","26","0","none","2021-11-21","20:14:22"
"356","Wo verschwenden wir am meisten Zeit?","auf dem Balkon","bei Herrn Iff","bei Herrn Antabrink","im Grab","cool","30","1","none","2021-11-21","20:14:22"
"357","Was ist der grösste Wordporn?","Anta: man soll es in der Familie nicht übertreiben!","Liechti: maximal 3er!","s Video vom Anta zu de Typographie","übrigens: es funkt, ihr wüssed weli 2 ich mein ;)","cool","39","0","none","2021-11-21","20:14:22"
"358","Wie hoch ist die Zahl der Weltbevölkerung?","7.9 Mia","8.6 Mia","10.2 Mia","6.7 Mia","geographie","0","0","none","2021-11-21","20:14:22"
"362","Was beduetet Exposee?","Alles","Aufgedeckt","Mobbing","Anti-Bianca-Initiative","cool","30","0","none","2021-11-21","20:14:22"
"363","Wie viele Buchstaben hat das Alphabet?","26","30","27","28","wissenschaft","30","0","none","2021-11-21","20:14:22"
"364","Wie entstehen Horkruxe?","Durch Mord und schwarze Magie","Durch Folter und schwarze Magie","Durch schwarze Magie","Durch Geisselung und schwarze Magie","filme","39","0","none","2021-11-21","20:14:22"
"365","Was ist die beste Schrift?","Comic Sans MS","Calibri","Arial","Times New Roman","kunst","39","0","none","2021-11-21","20:14:22"
"366","Wer hat Comic Sans erfunden?","Vincent Connare","Bill Gates","Thomas Dublin","Ethan Jones","geschichte","24","0","none","2021-11-21","20:14:22"
"371","Wie heisst der Hund von ""Wisse macht Ah""?","Lumpi","Wauwau","Wuffi","Laffi","filme","39","0","none","2021-11-21","20:14:22"
"396","Vieviele Fragen über Afrika gibt es?","unnötig viele","20","19","zu viele","geographie","30","0","none","2021-11-21","20:14:22"
"397","Das Östlichste Land auf dem Kontinent Afrikas?","Somalia","Kenia","Süd Sudan","Madagaskar","geographie","0","0","none","2021-11-21","20:14:22"
"398","Das Westlichste zugehörige Land Afrikas?","Kap Verde","West Sahara","Marokko","Senegal","geographie","0","0","none","2021-11-21","20:14:22"
"400","Ist Fergy53 der beste Newcomer im Deutschrap?","Ja","Nein (untermensch wer nein drückt)","Ja aber zum zweiten mal","Ja aber zum dritten mal","sonstige","0","0","none","2021-11-21","20:14:22"
"401","Welches ist die heisseste Klasse ?","Med 21/25 (ausgeschlossen Janis)","Med 20/24","Med 19/23","Med 18/22","cool","22","0","none","2021-11-21","20:14:22"
"402","Was sollte man nicht tun?","Natalie seinen Vater zeigen","Anderen Leuten sagen sie sollen aus dem Fenster springe ","Hunde treten","Mit Lehrern vögeln ","cool","0","0","none","2021-11-21","20:14:22"
"403","Beste quizplattform?","Quuli.ch ","Allgemeinwissen.de","Kahoot","Trivial","sonstige","22","0","none","2021-11-21","20:14:22"
